denuncia_id,fecha,comuna,motivo_denuncia,rubro
13460,2019-09-20,2,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13461,2019-09-20,3,Rechazo de la devolución del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13462,2019-09-20,2,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13464,2019-09-20,3,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13465,2019-09-20,3,Cláusulas abusivas o no convenidas,MUEBLES
13466,2019-09-23,12,Falta de Entrega del bien,TELEFONÍA Y REDES
13467,2019-09-23,1,Incumplimiento total de la prestación del servicio  contratado,"REPARACIÓN DE RODADOS, AUTOMOTORES Y EMBARCACIONES"
13469,2019-09-23,6,"Falta de entrega del documento de venta del producto: factura, remito, ticket, etc.",ALIMENTOS Y BEBIDAS
13470,2019-09-23,11,Demora en la entrega del bien,MUEBLES
13472,2019-09-23,11,Falta de cumplimento garantía posventa,"TEXTIL, CALZADO Y MARROQUINERÍA"
13473,2019-09-23,6,Falta de Información,SERVICIOS DE COMUNICACIONES
13475,2019-09-23,11,Falta de Información,SERVICIOS DE COMUNICACIONES
13476,2019-09-23,7,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.",SERVICIOS DE COMUNICACIONES
13478,2019-09-23,12,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13479,2019-09-23,1,Falta de Información,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
13481,2019-09-23,6,Incumplimiento total de la prestación del servicio  contratado,SALUD
13482,2019-09-23,14,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13483,2019-09-23,13,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13484,2019-09-23,1,Incumplimiento total de la prestación del servicio  contratado,"Servicios turísticos hoteles, hosterías, albergues, etc."
13485,2019-09-23,11,Incumplimiento total de la prestación del servicio  contratado,"Servicios turísticos hoteles, hosterías, albergues, etc."
13486,2019-09-23,13,Falta de Información,SERVICIOS DE COMUNICACIONES
13487,2019-09-23,11,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13488,2019-09-23,14,Falta de Información,SALUD
13489,2019-09-23,9,Falta de Entrega del bien,MUEBLES
13490,2019-09-23,7,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13491,2019-09-23,7,Producto no funciona,"TEXTIL, CALZADO Y MARROQUINERÍA"
13492,2019-09-23,13,Producto no funciona,ELECTRÓNICA
13493,2019-09-23,7,Falta de Información,SERVICIOS DE COMUNICACIONES
13494,2019-09-23,12,Cláusulas abusivas o no convenidas,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13495,2019-09-23,7,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13496,2019-09-23,6,Falta de Información,SERVICIOS DE COMUNICACIONES
13497,2019-09-23,7,Falta de Información,SERVICIOS DE COMUNICACIONES
13498,2019-09-23,7,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13499,2019-09-23,7,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13500,2019-09-23,13,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13502,2019-09-23,11,Falta de Información,SERVICIOS DE COMUNICACIONES
13503,2019-09-23,13,Rechazo de la devolución del bien,MUEBLES
13504,2019-09-23,6,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13506,2019-09-23,1,Debito de servicios no solicitados,SALUD
13507,2019-09-23,2,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13508,2019-09-23,6,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13509,2019-09-23,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13510,2019-09-23,11,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13511,2019-09-24,15,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13512,2019-09-24,1,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13513,2019-09-24,11,Producto no funciona,"RELOJERÍA, JOYERÍA Y TABAQUERÍA"
13514,2019-09-24,9,Falta de Entrega del bien,TELEFONÍA Y REDES
13517,2019-09-24,13,Falta de cumplimento garantía posventa,ELECTRÓNICA
13518,2019-09-24,2,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13520,2019-09-24,15,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13521,2019-09-24,13,Rechazo de la devolución del bien,MUEBLES
13522,2019-09-24,15,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13523,2019-09-24,6,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.",SERVICIOS DE COMUNICACIONES
13524,2019-09-24,15,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13525,2019-09-24,3,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13526,2019-09-24,3,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13527,2019-09-24,12,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Publicidad  Engañosa,ALIMENTOS Y BEBIDAS
13528,2019-09-24,13,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13530,2019-09-24,13,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13531,2019-09-24,3,Falta de Información,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
13532,2019-09-24,13,Incumplimiento del servicio,COMPRA POR INTERNET
13534,2019-09-24,9,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13535,2019-09-24,15,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS PÚBLICOS DOMICILIARIOS
13536,2019-09-24,1,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13537,2019-09-24,2,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13538,2019-09-24,3,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13539,2019-09-24,15,Cláusulas abusivas o no convenidas,SEGURIDAD
13540,2019-09-24,3,Falta de Información,ALIMENTOS Y BEBIDAS
13541,2019-09-24,12,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13542,2019-09-24,12,Falta de Información,SERVICIOS DE COMUNICACIONES
13543,2019-09-24,2,Falta de Entrega del bien,INFORMÁTICA
13544,2019-09-24,14,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13545,2019-09-24,3,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13546,2019-09-24,13,Incumplimiento del servicio,COMPRA POR INTERNET
13547,2019-09-24,9,Falta de Información,SERVICIOS DE COMUNICACIONES
13548,2019-09-24,3,Incumplimiento del servicio,COMPRA POR INTERNET
13549,2019-09-24,11,Deficiente calidad en la prestación del servicio,SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
13550,2019-09-24,14,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13551,2019-09-24,1,Falta de Entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13552,2019-09-24,3,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13553,2019-09-24,14,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13554,2019-09-24,15,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13555,2019-09-24,6,Falta de Entrega del bien,TELEFONÍA Y REDES
13556,2019-09-24,3,Demora en la entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13557,2019-09-24,3,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13558,2019-09-24,14,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13559,2019-09-24,2,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13560,2019-09-24,12,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13562,2019-09-24,1,Producto no funciona,TELEFONÍA Y REDES
13563,2019-09-25,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
13564,2019-09-25,11,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13565,2019-09-25,6,Cláusulas abusivas o no convenidas,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13566,2019-09-25,9,Falta de Información,SERVICIOS DE COMUNICACIONES
13567,2019-09-25,4,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.","Servicios turísticos hoteles, hosterías, albergues, etc."
13568,2019-09-25,12,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13569,2019-09-25,7,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13570,2019-09-25,1,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13571,2019-09-25,13,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13573,2019-09-25,12,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13574,2019-09-25,2,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13575,2019-09-25,12,Producto no funciona,INFORMÁTICA
13576,2019-09-25,14,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13578,2019-09-25,1,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13579,2019-09-25,14,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13580,2019-09-25,12,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13581,2019-09-25,7,Demora en la entrega del bien,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
13582,2019-09-25,14,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13583,2019-09-25,1,Falta de Información,"TEXTIL, CALZADO Y MARROQUINERÍA"
13584,2019-09-25,7,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13585,2019-09-25,11,Falta de Información,SERVICIOS DE COMUNICACIONES
13586,2019-09-25,7,Falta de Entrega del bien,"TEXTIL, CALZADO Y MARROQUINERÍA"
13587,2019-09-25,7,Falta de Información,SERVICIOS DE COMUNICACIONES
13588,2019-09-25,7,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13589,2019-09-25,13,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13590,2019-09-25,7,Falta de cumplimento garantía posventa,DEPORTES Y RECREACIÓN
13591,2019-09-25,2,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
13592,2019-09-25,14,Falta de Información,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
13593,2019-09-25,14,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13594,2019-09-25,1,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13596,2019-09-25,7,Falta de Información,SERVICIOS DE COMUNICACIONES
13597,2019-09-25,4,Falta de cumplimento garantía posventa,CONSTRUCCIÓN Y EQUIPAMIENTO DEL HOGAR
13598,2019-09-25,12,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13599,2019-09-25,11,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13600,2019-09-25,2,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13601,2019-09-25,1,Cláusulas abusivas o no convenidas,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
13602,2019-09-25,12,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13603,2019-09-25,6,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13605,2019-09-25,7,Falta de Entrega del bien,MUEBLES
13606,2019-09-25,13,Falta de Información,SERVICIOS DE COMUNICACIONES
13607,2019-09-25,2,Incumplimiento del servicio,COMPRA POR INTERNET
13608,2019-09-25,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13609,2019-09-25,11,Falta de Entrega del bien,TELEFONÍA Y REDES
13610,2019-09-25,2,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13611,2019-09-25,13,Cláusulas abusivas o no convenidas,SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
13612,2019-09-25,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13613,2019-09-25,13,Falta de Información,SERVICIOS DE COMUNICACIONES
13614,2019-09-25,14,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13615,2019-09-25,14,Demora en la entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13616,2019-09-25,2,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13617,2019-09-25,12,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13618,2019-09-25,15,Incumplimiento total de la prestación del servicio  contratado,GRAFICAS E IMPRESIONES
13619,2019-09-25,7,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13620,2019-09-25,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13621,2019-09-25,13,Deficiente calidad en la prestación del servicio,SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
13622,2019-09-25,7,Cobro de gastos de entrega no informados o convenidos,ALIMENTOS Y BEBIDAS
13623,2019-09-25,12,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13624,2019-09-25,15,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13627,2019-09-25,7,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13628,2019-09-25,15,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13629,2019-09-25,2,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13630,2019-09-25,3,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13631,2019-09-25,14,Producto no funciona,MUEBLES
13632,2019-09-25,4,Falta de Información,SERVICIOS DE COMUNICACIONES
13633,2019-09-25,3,Falta de cumplimento garantía posventa,"TEXTIL, CALZADO Y MARROQUINERÍA"
13634,2019-09-26,6,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13635,2019-09-26,7,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13636,2019-09-26,1,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.",SERVICIOS DE COMUNICACIONES
13637,2019-09-26,1,Bloqueo de la tarjeta,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13639,2019-09-26,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13640,2019-09-26,13,Falta de Información,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13641,2019-09-26,13,Producto no funciona,ELECTRÓNICA
13642,2019-09-26,13,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13643,2019-09-26,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13644,2019-09-26,14,Débitos y/o cobros indebidos,"Servicios turísticos hoteles, hosterías, albergues, etc."
13645,2019-09-26,2,Falta de Información,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13646,2019-09-26,2,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13648,2019-09-26,6,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13652,2019-09-26,14,Incumplimiento de Garantía de Servicios,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
13653,2019-09-26,13,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13654,2019-09-26,7,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13655,2019-09-26,3,Cláusulas abusivas o no convenidas,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
13656,2019-09-26,2,Falta de Información,SERVICIOS PÚBLICOS DOMICILIARIOS
13657,2019-09-26,7,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13658,2019-09-26,15,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13660,2019-09-26,7,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13661,2019-09-26,13,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13662,2019-09-26,2,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13663,2019-09-26,13,Falta de Información,SERVICIOS DE COMUNICACIONES
13665,2019-09-26,3,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13666,2019-09-26,15,Producto no funciona,TELEFONÍA Y REDES
13667,2019-09-26,15,Demora en la entrega del bien,"TEXTIL, CALZADO Y MARROQUINERÍA"
13668,2019-09-26,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13669,2019-09-26,11,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13670,2019-09-26,15,Cláusulas abusivas o no convenidas,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
13671,2019-09-26,15,Deficiente calidad en la prestación del servicio,ENSEÑANZA
13672,2019-09-26,15,Falta de Información,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13673,2019-09-26,13,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13674,2019-09-26,9,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS PARA EL AUTOMOTOR
13675,2019-09-26,15,Falta de Entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13676,2019-09-26,6,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
13677,2019-09-26,2,Falta de Entrega del bien,BAZAR Y DECORACIÓN
13678,2019-09-26,12,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13679,2019-09-26,7,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13680,2019-09-26,11,Bloqueo de la tarjeta,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13681,2019-09-26,14,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13682,2019-09-26,15,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13683,2019-09-26,7,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13684,2019-09-26,12,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13685,2019-09-26,6,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13686,2019-09-26,7,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13687,2019-09-26,2,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13688,2019-09-26,13,Rechazo de la devolución del bien,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
13689,2019-09-26,13,Falta de Información,TELEFONÍA Y REDES
13690,2019-09-26,3,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13692,2019-09-27,13,Falta de cumplimento garantía posventa,ELECTRÓNICA
13693,2019-09-27,13,Incumplimiento del servicio,COMPRA POR INTERNET
13695,2019-09-27,11,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13696,2019-09-27,1,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.",SALUD
13697,2019-09-27,7,Falta de Información,SERVICIOS DE COMUNICACIONES
13698,2019-09-27,4,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13699,2019-09-27,7,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13700,2019-09-27,15,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
13701,2019-09-27,2,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13702,2019-09-27,3,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13703,2019-09-27,11,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13704,2019-09-27,1,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13705,2019-09-27,15,Producto no funciona,JUEGOS Y JUGUETES
13706,2019-09-27,2,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13707,2019-09-27,3,Falta de Entrega del bien,TELEFONÍA Y REDES
13708,2019-09-27,4,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13709,2019-09-27,15,Cláusulas abusivas o no convenidas,ENSEÑANZA
13710,2019-09-27,3,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13711,2019-09-27,1,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
13712,2019-09-27,9,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
13713,2019-09-27,1,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13714,2019-09-27,14,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
13715,2019-09-27,7,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
